Company,Parsed?,URL of policy,Email,Billing Info (Credit Card Number),Social Security Number,Ads and Marketing,Location,Collecting PII of Children,Sharing with Law Enforcement,Notice of Policy Change,Choice of Limiting Your Info,Aggregation
Adobe,Y,http://www.adobe.com/privacy/policy.html,2,2,3,2,3,2,2,2,2,2
AddThis,Y,http://www.addthis.com/privacy/privacy-policy,2,3,3,3,3,3,2,2,2,2
Verizon,Y,https://www.verizon.com/about/privacy/policy/,1,2,2,2,2,3,1,2,2,2
NBCUniversal,Y,http://www.nbcuni.com/privacy/full-privacy-policy/,1,2,3,1,2,2,1,2,2,1
Ebay,Y,http://pages.ebay.com/help/policies/privacy-policy.html,2,2,3,2,1,3,1,2,2,2
RocketFuel,Y,http://rocketfuel.com/privacy-policy,2,3,3,1,1,3,2,2,3,2
Disney,Y,https://disneyprivacycenter.com/privacy-policy-translations/english/,2,2,3,2,2,1,0,3,3,2
Pandora,Y,http://www.pandora.com/privacy,2,2,3,2,2,3,1,2,2,2
Zynga,Y,https://zynga.com/privacy/policy,1,2,3,2,2,3,2,2,3,2
AOL,Y,http://privacy.aol.com,2,2,3,2,2,3,2,2,2,2
Snapchat,Y,https://www.snapchat.com/privacy,2,2,3,1,1,3,1,2,3,2
Pinterest,Y,https://about.pinterest.com/en/privacy-policy,2,3,3,1,2,3,1,2,3,2
Shell,Y,http://www.shell.com/global/aboutshell/website-social-mobile/about-our-website/privacy.html,2,3,3,2,3,3,1,2,3,2
Chevron,Y,http://www.chevron.com/privacystatement/,2,2,2,2,3,3,1,2,2,2
PG&E,Y,http://www.pge.com/en/about/company/privacy/customer/index.page,2,2,2,2,3,3,2,2,2,2
Halliburton,Y,http://www.halliburton.com/en-US/about-us/legal/privacy-policy.page?node-id=hgeyxt9i,2,2,3,2,3,2,1,1,3,2
Valero,Y,http://www.valero.com/legal/pages/privacystatement.aspx,1,2,2,1,2,3,1,2,3,2
Cabot,Y,http://www.cabotcorp.com/information/privacy-policy,2,3,3,2,3,2,1,2,3,2
Eastman,Y,http://www.eastman.com/Pages/Privacy_Policy.aspx,2,3,3,3,3,2,1,1,3,2
OCI resources,delete,http://ociresources.com/privacy-policy/default.aspx,2,3,3,3,3,2,2,1,1,2
Teck,Y,https://www.teck.com/Generic.aspx?PAGE=Teck%20Site/Privacy+Policy&portalName=tc,2,3,3,3,3,2,1,2,1,2
Newmont,Y,http://www.newmont.com/legal/,2,3,3,3,3,2,1,2,3,2
China-ACM,delete,http://www.china-acm.com/privacy-policy,2,3,3,2,3,2,1,2,3,2
RGS Energy,Y,http://rgsenergy.com/privacy-policy/,1,2,2,1,3,3,1,2,3,2
Heico,Y,http://www.heico.cn/en/pri.asp,2,2,3,2,3,3,1,2,1,2
Cyberoptics,Y,http://cyberoptics.com/privacy-policy/,2,3,3,2,3,2,1,2,2,2
Kelso,Y,http://www.kelsotech.com/privacy-policy,2,2,3,2,3,2,1,2,1,2
Sonic automotive,Y,http://www.sonicautomotive.com/privacy.htm,1,2,3,1,3,3,2,2,1,2
Adm,Y,http://www.adm.com/en-us/Pages/privacy.aspx,1,3,3,1,3,3,1,2,3,2
Coca cola enterprises,Y,http://www.cokecce.com/legal/privacy-policy,2,3,3,2,3,3,1,2,2,2
Bassettt,Y,http://www.bassettfurniture.com/customer-service/privacy-and-terms.asp,1,3,3,1,3,2,1,1,2,2
Tempurpedic,Y,http://www.tempurpedic.com/customer-service/privacy-policy.asp,2,2,3,1,3,3,1,2,3,2
Endo,Y,http://www.endo.com/privacy-legal,2,3,3,2,3,3,1,2,1,2
Symmetry surgical,Y,http://www.symmetrysurgical.com/Welcome/Default.aspx?scenarioID=65000012,2,3,3,2,3,3,2,2,2,2
Luna,Y,http://devstore.lunainc.com/pages/privacy,2,2,3,2,3,3,1,2,2,2
Nant kwest,Y,http://www.nantkwest.com/privacy-policy,2,3,3,2,3,2,1,2,1,2
Cryo life,Y,http://www.cryolife.com/privacy-policy,2,2,2,2,3,3,2,2,3,2
Dressbarn,Y,http://www.dressbarn.com/customer-service/safety-security-and-privacy/t#Privacy_policy,2,3,3,2,2,3,1,2,3,2
Sears Canada,delete,http://www.sears.ca/content/about-sears#Customer_Service_Security_Sears,1,2,3,1,3,2,1,2,2,2
Liberty media,Y,http://www.libertymedia.com/privacy.aspx,2,3,3,3,3,2,1,1,1,2
Travel port,Y,http://www.travelport.com/Privacy-Policy/Travelport%20GDS,2,2,3,2,3,3,2,2,2,2
IHG,Y,http://www.ihgplc.com/index.asp?pageid=863,2,3,3,3,3,2,1,1,2,2
T mobile,Y,http://www.t-mobile.com/company/website/privacypolicy.aspx,1,2,2,2,2,3,2,2,2,2
Clear one,Y,http://www.clearone.com/privacy_policy,2,3,3,2,3,2,1,1,2,2
HKTV,Y,http://www.hktvmall.com/hktv/en/privacy-policy,1,2,2,1,1,2,1,1,2,2
Orange,Y,http://www.orange.com/en/Footer/legal-matters/legal/privacy-policy,2,3,3,3,3,3,2,2,2,2
Alaska,Y,http://www.alaskacommunications.com/Privacy.aspx,2,2,2,2,2,3,1,2,2,2
CMS Energy,Y,http://www.cmsenergy.com/privacy-statement/default.aspx,2,3,3,3,3,3,1,2,3,2
cleco,Y,https://www.cleco.com/privacy-policy,2,2,2,2,3,3,1,2,1,2
transalta,Y,http://www.transalta.com/utility/terms-use,2,3,3,2,3,2,1,1,1,2
ormat,Y,http://www.ormat.com/privacy-policy,2,2,3,2,3,2,1,1,2,2
OGE,Y,https://oge.com/wps/portal/!ut/p/a1/04_Sj9CPykssy0xPLMnMz0vMAfGjzOItjAycDTxNjLzcvY1cDRy9XVwCTQNcDD2NzYAKIoEKDHAARwNC-sP1o8BK8JhQkBthkO6oqAgArHFgDg!!/dl5/d5/L2dJQSEvUUt3QS80SmlFL1o2XzgyMEMwSTQySk9RN0IwQUNFUTExNDgxMDM0,2,2,3,2,3,3,1,1,1,2
citizens holding,Y,http://www.citizensholdingcompany.com/privacy-policy/,2,3,3,2,3,2,1,2,1,2
manulife,Y,"http://www.manulife.com/public/article/index/0,,lang=en&catId=670002,00.html",2,2,3,2,3,2,2,1,1,2
marcus and millichap,Y,http://www.marcusmillichap.com/about-us/privacy-policy,1,2,3,1,3,3,1,2,2,2
PHH,Y,http://corporate.phh.com/phoenix.zhtml?c=187859&p=irol-privacy,1,3,3,1,3,2,1,2,2,2
US global investors,Y,http://www.usfunds.com/privacy-policy/#.VddtEYs6JUQ,2,2,2,2,3,3,2,2,1,2
emcore,Y,http://www.emcore.com/privacy,2,3,3,2,3,3,1,2,3,2
techdata,Y,http://www.techdata.com/content/visitor/abouttd/privacy.aspx,2,2,2,2,3,2,1,2,1,2
yandex,Y,https://legal.yandex.com/confidential,2,3,3,2,3,2,1,2,3,2
groupon,Y,https://www.groupon.com/privacy,2,2,3,1,2,3,1,2,3,2
idt,Y,http://www.idt.com/legal/privacy-policy,1,2,3,1,3,2,1,2,1,2
education.com,Y,http://www.education.com/privacy,1,2,3,2,3,3,2,2,3,2
US dept of education,Y,http://www2.ed.gov/notices/privacy/index.html?src=ft,2,3,3,3,3,2,1,2,1,2
edutopia,Y,http://www.edutopia.org/privacy-policy,1,2,3,1,1,3,1,2,3,2
coursera,Y,https://www.coursera.org/about/privacy,1,2,3,1,1,3,1,2,1,2
openculture,Y,http://www.openculture.com/privacy_policy,2,3,3,2,2,3,1,2,1,2
texas dept of insurance,Y,http://www.tdi.texas.gov/commish/privacy.html,2,3,3,3,3,2,1,1,2,2
texas dept of state health services,Y,https://www.dshs.state.tx.us/policy/privacy.shtm,2,3,3,3,3,2,1,1,2,2
texas animal health commission,Y,http://www.tahc.state.tx.us/web_policy.html,1,3,3,3,3,2,1,1,1,2
federal reserve,Y,http://www.federalreserve.gov/privacy.htm,2,3,3,3,3,2,2,2,1,2
us jobs,Y,https://help.usajobs.gov/index.php/USAJobsHelp:Privacy_policy,1,3,1,3,1,2,1,1,1,2
Amazon,Y,http://www.amazon.com/gp/help/customer/display.html?nodeId=468496,3,3,3,3,2,1,3,1,1,3
CVS,Y,http://www.cvs.com/help/privacy_policy.jsp,2,2,2,2,2,1,2,1,1,1
Netflix,Y,https://www.netflix.com/PrivacyPolicy,2,2,2,3,3,1,3,1,1,3
BankOfAmerica,Y,https://www.bankofamerica.com/privacy/online-privacy-notice.go,2,2,2,1,1,1,3,1,2,3
DuckDuckGo,Y,https://duckduckgo.com/privacy,1,1,1,1,1,1,2,1,1,1
Ixquick,delete,https://ixquick.com/eng/privacy-policy.html,1,1,1,1,1,1,1,1,1,1
Instagram,Y,http://instagram.com/about/legal/privacy/,1,1,1,2,1,1,3,1,1,2
Dropbox,Y,https://www.dropbox.com/terms#privacy,1,1,1,2,2,1,3,1,1,2
Skype,delete,http://www.skype.com/en/legal/privacy/,1,1,1,2,2,1,2,1,1,2
Xing,Y,https://www.xing.com/privacy,1,1,1,1,1,1,1,1,1,1
Bitly,Y,https://bitly.com/pages/privacy,1,1,1,2,1,2,2,1,1,2
Zoosk,Y,https://www.zoosk.com/en/privacy?from=footer,1,2,1,3,1,1,2,1,1,3
Evernote,Y,https://evernote.com/legal/privacy.php,1,1,1,1,2,1,3,1,1,2
Gravatar,duplicate,http://automattic.com/privacy/,1,1,1,1,1,1,2,1,1,2
Couchsurfing,Y,http://about.couchsurfing.com/privacy-policy/,2,2,1,2,2,1,2,1,1,2
OLX,Y,http://www.joinolx.com/privacy-statement,1,1,1,3,3,1,3,1,2,3
RuneScape,Y,http://www.jagex.com/g=runescape/privacy/privacy.ws,1,1,1,3,2,2,2,1,1,2
eBuddy,Y,http://xms.me/privacy.html,1,1,1,3,2,1,2,1,1,3
vBulletin,delete,http://www.internetbrands.com/privacy/privacy-highlights.html?site=www.vbulletin.com,1,1,1,3,2,2,2,1,1,2
WhatsApp,Y,http://www.whatsapp.com/legal/,1,1,1,2,2,1,3,1,1,2
Freeforums,delete,http://www.crowdgather.com/legal/,1,1,1,2,2,1,3,2,2,3
IFTTT,Y,https://ifttt.com/privacy,1,1,1,2,1,1,2,1,1,2
Informe,Y,http://www.maine.gov/portal/policies/privacy.html,1,1,1,1,1,1,2,1,1,2
App.net,Y,https://account.app.net/legal/privacy/,1,1,1,1,1,1,1,1,1,1
videoBB,delete,http://www.videobb.com/privacy.php,1,1,1,2,1,1,2,1,1,2
Flattr,Y,https://flattr.com/privacy,1,1,1,2,1,1,2,1,1,2
Habbo,Y,http://help.habbo.com/entries/23029106-Privacy-Policy,1,1,1,3,3,2,3,1,1,2
World of Warcraft,Y,http://us.blizzard.com/en-us/company/about/privacy.html,2,2,2,2,2,1,3,1,1,2
Steam,Y,http://store.steampowered.com/privacy_agreement/,2,2,1,2,1,1,2,1,1,2
Hypster,Y,http://hypster.com/hypster/Privacy_Policy,2,2,2,3,2,1,2,1,1,2
Wordfeud,Y,http://wordfeud.com/privacy/,3,3,1,3,2,1,3,1,1,3
OwnCube,Y,https://owncube.com/privacy-en.php,1,2,2,2,2,2,2,1,1,2
Disqus,Y,https://help.disqus.com/customer/portal/articles/466259-privacy-policy,3,3,1,3,3,2,3,1,1,3
Grammarly,Y,http://www.grammarly.com/privacy-policy,2,2,1,2,2,2,2,1,1,2
allrecipes,Y,http://allrecipes.com/help/aboutus/privacy.aspx,1,2,1,3,2,1,2,1,1,2
lastpass,delete,https://lastpass.com/privacy-statement/,2,2,2,2,2,1,2,1,1,2
Spotify,Y,https://www.spotify.com/us/legal/end-user-agreement/,2,2,2,2,2,2,2,2,2,2
mint,delete,https://www.mint.com/how-it-works/security/policy/,2,2,2,2,2,1,2,2,2,2
Tumblr,Y,https://www.tumblr.com/policy/en/privacy,2,2,2,2,2,2,2,2,2,3
Apple iCloud,duplicate,https://www.apple.com/privacy/,2,2,2,2,2,1,2,2,1,2
envato,Y,http://themeforest.net/legal/privacy,2,2,2,2,2,2,2,2,2,2
Adcare Health Systems Inc,Y,http://adcarehealth.com/privacy-policy/,2,3,3,3,3,3,3,1,2,2
"GAMCO Global Gold, Natural Reources & Income Trust",Y,http://www.gabelli.com/privacy.html,2,3,3,2,3,3,3,2,1,1
Gastar Exploration Inc.,Y,http://www.gastar.com/privacy/default.aspx,2,3,3,2,3,3,3,2,2,2
Ladenburg Thalmann Financial Services Inc,Y,http://www.ladenburg.com/policies-disclosures/privacy-disclosure,2,2,2,3,3,1,2,1,2,2
Pacific Gas & Electric Co.,Y,http://www.pge.com/en/about/company/privacy/customer/index.page,2,2,2,2,3,2,2,3,2,2
Power REIT,Y,http://pwreit.com/?page_id=48,2,3,3,1,3,1,3,1,2,2
"Radiant Logistics, Inc.",Y,http://radiantdelivers.com/?page_id=1006,3,3,2,3,3,1,2,2,2,2
Southern California Edison Company,Y,https://www.sce.com/wps/portal/home/privacy/!ut/p/b1/lVLLbsIwEPyVcsgx7FKHEHqzqioEqlKaVhBfkO2YkCrYIbhQ-vVNEJdK5eXTejWzmtlZYDADpvk2z7jNjeZF82f-vBOEdBDFGI3jySNGbzjq0uA16nteDUhqAJ54FA_8fohPg-EYo_B9QjAiE3yJKSWIPkyBAZPalnYJyUaquTTaKm3nSjt4rB0sq3zL5f5OG5tL1VBKmaeQyIXwuQjQFYJ4rheIjitwga4nUu73eykhXBwlntFwweJB4nmTQ2BZYcRhYQnVggQZsEotVKWq9ldVt5fWlpsHBx3c7XbtzJisUG1pVg7-R1majYXZXyQktY_eSaGjLsQ3LubCwPubBw6vuJb8c71mtM68yfa7dnlt6OXqYxWQvat_ntXUbbSQbpG1Wr-U4ZXZ/dl4/d5/L2dBISEvZ0FBIS9nQSEh/,2,3,2,2,3,1,1,2,1,1
"BLACKROCK INTERNATIONAL, LTD.",Y,http://www.blackrock.com/corporate/en-us/compliance/privacy-policy,2,3,3,2,3,3,2,2,3,2
"Sophiris Bio, Inc.",Y,http://www.sophirisbio.com/privacy-policy/,1,3,3,1,3,3,2,3,1,2
First Bank,Y,http://www.firstbanknj.com/privacy-and-security.html,2,2,2,3,2,3,2,1,1,1
W.R. Berkley Corporation,Y,http://www.wrberkley.com/site-services/legal.aspx,1,3,2,2,2,3,2,1,1,2
"The Herzfeld Caribbean Basin Fund, Inc.",Y,http://www.herzfeld.com/#!privacy-policy/c3gd,2,2,3,2,3,3,2,1,1,1
Greif Bros. Corporation,Y,http://www.greif.com/legal/privacy-policy.html,2,2,3,2,2,3,1,1,1,1
"RENN Fund, Inc.",delete,http://www.rencapital.com/privacyPolicy.php,2,2,2,2,2,3,1,1,1,3
"American Capital, Ltd.",delete,http://www.americancapital.com/privacy-policy,2,3,3,2,3,3,1,1,1,3
Investors Real Estate Trust,Y,http://www.iret.com/privacy-policy/,2,3,3,2,2,3,1,2,1,2
Alere Inc.,Y,http://www.alere.com/ww/en/privacy.html,3,3,3,2,2,3,2,2,2,2
"Dreyfus Municipal Income, Inc.",Y,https://public.dreyfus.com/policies-information/online-privacy.html,1,3,3,1,1,3,2,2,1,1
Tejon Ranch Co,Y,http://tejonranch.com/privacy-policy/,2,3,3,3,2,3,2,1,1,1
Moog Inc.,Y,http://www.moog.com/about/privacy-policy/,2,3,3,2,2,3,2,2,3,1
Alcoa Inc.,Y,http://www.alcoa.com/global/en/general/privacy.asp?lc=3,3,2,3,3,2,3,2,2,3,2
RAIT Financial Trust,Y,http://www.rait.com/legal/terms-of-service/,3,3,3,3,3,2,1,2,1,3
Eaton Vance California Municipal Income Trust,Y,http://corporate.eatonvance.com/Privacy-and-Security.php,2,2,2,2,3,3,2,2,1,1
Aberdeen Australia Equity Fund Inc,Y,http://www.aberdeen-asset.com/aam.nsf/AAM/privacy,2,2,3,3,2,3,2,2,1,1
Aberdeen Asia-Pacific Income Fund Inc,delete,http://www.aberdeen-asset.us/aam.nsf/us/privacy,2,2,3,3,2,3,2,2,1,1
Nuveen Missouri Premium Income Municipal Fund,Y,http://www.nuveen.com/Home/Corporate/About/Privacy.aspx,2,2,2,2,3,3,1,2,1,3
iShares MSCI Emerging Markets Asia Index Fund,Y,http://www.ishares.com/us/privacy-policy,2,3,3,3,2,3,2,1,2,1
"Delaware Investments Colorado Municipal Income Fund, Inc",Y,http://www.delawareinvestments.com/closed-end/privacy-statement.aspx,2,3,2,2,3,3,2,2,2,3
"Goldman Sachs Group, Inc. (The)",Y,http://www.goldmansachs.com/privacy-and-security/index.html,2,2,2,2,3,3,2,2,3,3
Federal Agricultural Mortgage Corporation,Y,https://www.farmermac.com/privacy-policy/,3,3,3,3,3,3,2,3,3,2
"American International Group, Inc.",Y,http://www.aig.com/privacy_3171_448852.html,1,3,2,2,2,3,2,2,3,2
Apartment Investment and Management Company,Y,http://www.aimco.com/privacy,1,2,2,1,3,3,2,1,1,1
Allstate Corporation (The),Y,https://www.allstate.com/about/privacy-statement-aic.aspx,1,2,2,1,2,3,1,2,3,2
American Independence Corp.,Y,http://www.americanindependencecorp.com/AMIC_PrivacyPolicy.html,2,3,3,1,2,3,2,2,1,2
Aflac Incorporated,Y,https://www.aflac.com/about-aflac/privacy-policy.aspx,2,2,2,2,2,2,2,2,2,2
"Dex Media, Inc.",Y,http://www.dexmedia.com/privacy/,1,2,2,1,2,2,1,1,2,1
"Insignia Systems, Inc.",delete,http://www.insigniasystems.com/privacy-policy.html,2,3,3,2,3,3,1,1,3,2
MDC Partners Inc.,Y,http://www.mdc-partners.com/#privacy,2,3,3,3,3,2,3,2,1,2
"MeetMe, Inc.",Y,http://www.meetme.com/apps/terms#privacy,1,3,3,2,1,2,1,2,3,2
AAR Corp.,Y,http://www.aarcorp.com/terms-and-conditions/,3,3,3,1,3,3,3,1,3,3
"Rentech, Inc.",delete,http://www.rentechinc.com/privacy.php,2,3,3,3,3,3,2,2,1,3
Agrium Inc.,Y,http://www.agrium.com/en/privacy,2,3,3,3,3,3,1,3,1,3
"Hawaiian Holdings, Inc.",delete,https://beta.hawaiianairlines.com/legal/privacy-policy,1,2,3,1,3,2,2,1,3,2
Cintas Corporation,Y,http://www.cintas.com/privacy/,2,2,3,2,2,2,1,2,1,2
Joe&#39;s Jeans Inc.,Y,http://www.joesjeans.com/TermsPrivacy.aspx,2,3,3,2,3,2,1,3,3,2
Perry Ellis International Inc.,Y,http://www.pery.com/Company/PrivacyStatement,2,2,3,2,3,3,1,1,1,3
Columbia Sportswear Company,Y,http://www.columbia.com/privacy-policy.html,2,2,3,2,2,2,1,1,2,2
PACCAR Inc.,Y,http://www.paccar.com/privacy.aspx,2,3,3,3,3,2,1,1,1,3
"Caseys General Stores, Inc.",Y,http://www.caseys.com/privacy-policy,2,2,3,2,2,3,1,1,1,1
"Monro Muffler Brake, Inc.",Y,http://www.monro.com/Privacy-Policy,1,3,3,2,3,2,1,2,1,1
"West Marine, Inc.",delete,http://www.westmarine.com/CustomerService/Privacy-Policy,1,1,3,1,3,3,1,3,2,2
"MGP Ingredients, Inc.",Y,http://www.mgpingredients.com/privacy/,2,2,2,2,1,3,1,2,1,1
National Beverage Corp.,Y,http://www.nationalbeverage.com/privacy-policy/,3,3,3,3,3,3,2,1,1,2
Amgen Inc.,Y,http://www.amgen.com/privacy/privacy_terms.html,2,3,3,1,1,2,2,3,2,1
Cel-Sci Corporation,Y,http://www.cel-sci.com/privacy_policy.html,2,3,3,2,1,1,1,2,1,2
Repligen Corporation,Y,https://www.repligen.com/privacy-policy/,2,2,2,1,2,1,1,3,1,1
CytRx Corporation,delete,http://www.cytrx.com/privacy,2,2,2,1,2,3,2,3,3,2
Biogen Inc.,Y,https://www.biogen.com/en_us/privacy-policy.html,2,2,2,2,2,3,2,1,3,2
"Gilead Sciences, Inc.",Y,http://www.gilead.com/Privacy/Privacy-Statement,2,3,3,2,2,1,2,2,3,2
"PDL BioPharma, Inc.",Y,http://pdl.com/terms-of-use/,1,1,1,1,1,1,1,2,1,1
Oncothyreon Inc.,delete,http://www.oncothyreon.com/about_us/legal.html,1,1,1,1,1,1,1,2,1,1
PAREXEL International Corporation,Y,https://www.parexel.com/company/privacy-policy/,2,3,3,2,2,3,1,2,1,2
Incyte Corporation,delete,http://www.incyte.com/sites/default/files/Incyte%20Privacy%20Policy%20Sept%202014.pdf,2,2,2,2,2,3,1,3,3,2
National Research Corporation,Y,http://www.nationalresearch.com/privacy-policy,2,2,2,1,2,1,1,2,1,1
"AxoGen, Inc.",Y,http://www.axogeninc.com/privacy,2,2,2,1,2,3,1,3,3,2
CONMED Corporation,Y,http://www.conmed.com/conmed-legal.php,2,2,2,1,2,1,1,1,1,1
Arrhythmia Research Technology Inc.,delete,http://www.arthrt.com/privacy-policy/,2,2,2,1,2,1,1,2,1,1
The Spectranetics Corporation,Y,http://www.spectranetics.com/disclaimers-privacy/,2,2,2,1,2,1,1,2,1,1
Escalon Medical Corp.,delete,http://www.escalonmed.com/privacypolicy.html,2,3,3,3,3,2,2,2,1,2
"Cyberonics, Inc.",delete,http://www.cyberonics.com/privacy-policy,2,2,3,3,3,2,2,2,1,2
IRIDEX Corporation,Y,http://www.iridex.com/Contact/PrivacyPolicy.aspx,2,3,3,2,2,2,1,2,1,1
Thoratec Corporation,delete,http://www.thoratec.com/legal/index.aspx,2,3,3,3,3,2,2,2,1,2
"Celldex Therapeutics, Inc.",Y,http://www.celldex.com/help/privacy-terms-of-use.php,2,3,3,2,3,2,1,2,2,2
Meridian Bioscience Inc.,Y,http://www.meridianbioscience.com/privacy.aspx,2,2,3,2,3,2,1,2,1,2
"Bio-Rad Laboratories, Inc.",Y,http://www.bio-rad.com/en-us/privacy,2,3,3,2,3,3,2,2,2,2
Scholastic Corporation,Y,http://www.scholastic.com/privacy.htm,2,2,3,2,2,1,1,3,3,3
"NTN Buzztime, Inc.",Y,http://www.buzztime.com/business/privacy-policy/,2,3,3,2,3,3,2,2,2,2
Headwaters Incorporated,delete,http://www.headwaters.com/Privacy-Policy/,2,3,3,2,3,3,2,2,2,2
"Energy Focus, Inc.",Y,http://www.energyfocusinc.com/privacy-policy/,2,3,3,2,3,2,2,2,2,2
eBay Inc.,duplicate,http://pages.ebay.com/help/policies/privacy-policy.html?rt=nc,2,2,3,2,1,3,1,2,3,2
"Reis, Inc",Y,http://www.reis.com/privacy-policy,2,3,3,2,3,3,2,2,2,2
The Priceline Group Inc.,Y,http://www.pricelinegroup.com/privacy-policy/,2,3,3,2,3,3,2,2,2,2
"Bankrate, Inc.",Y,http://www.bankrate.com/coinfo/privacy.asp,2,2,3,2,2,3,2,2,2,2
Stamps.com Inc.,Y,http://www.stamps.com/privacy-policy/,2,3,3,2,3,3,2,3,3,2
NIC Inc.,Y,http://www.egov.com/policy/privacy-policy,2,3,3,2,3,3,1,2,2,2
"Lionbridge Technologies, Inc.",Y,http://www.lionbridge.com/privacy-policy/,2,3,3,2,3,2,1,1,1,2
BSQUARE Corporation,Y,http://www.bsquare.com/privacy-policy/,2,2,3,1,2,2,1,2,2,2
"Akamai Technologies, Inc.",delete,https://www.akamai.com/us/en/privacy-policies/index.jsp,3,3,3,1,2,2,2,2,3,2
"Collectors Universe, Inc.",Y,https://www.collectors.com/Home/Privacy,2,2,3,2,2,3,2,2,1,2
"PFSweb, Inc.",Y,http://www.pfsweb.com/about/privacy-policy.php,2,3,3,2,3,2,1,2,2,3
"Gores Holdings, Inc.",delete,http://www.gores.com/legal/,2,3,3,3,2,2,2,2,1,2
"Spark Networks, Inc.",Y,http://www.spark.net/privacy-policy/,2,3,3,3,2,2,1,1,1,1
EVINE Live Inc.,Y,http://www.evine.com/p/help/evine-live/privacy/?cm_re=gft-_-privacy,1,1,3,1,1,3,1,1,1,1
"Insight Enterprises, Inc.",Y,http://www.insight.com/en_US/help/privacy-policy.html,2,2,3,2,2,2,1,2,1,3
"Destination XL Group, Inc.",Y,http://www.destinationxl.com/mens-big-and-tall-store/static/privacypolicy,2,2,3,2,2,3,2,2,3,2
